,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2,Source
0,1250,1,29.0,https://www.pap.fr/annonces/appartement-paris-12e-r420101075,ParisSud,43.10344827586207,PAP
1,950,1,30.0,https://www.pap.fr/annonces/appartement-paris-12e-r415501735,ParisSud,31.66666666666667,PAP
2,1015,2,35.0,https://www.pap.fr/annonces/appartement-paris-12e-75012-r433701933,ParisSud,29.0,PAP
3,870,1,16.0,https://www.pap.fr/annonces/appartement-paris-12e-r421600789,ParisSud,54.375,PAP
4,950,1,23.0,https://www.pap.fr/annonces/appartement-paris-12e-r423301856,ParisSud,41.30434782608695,PAP
5,700,1,13.0,https://www.pap.fr/annonces/appartement-paris-12e-r426000198,ParisSud,53.846153846153854,PAP
6,980,1,31.0,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434500206,ParisSud,31.612903225806452,PAP
7,750,1,20.0,https://www.pap.fr/annonces/appartement-paris-12e-r401700318,ParisSud,37.5,PAP
8,680,1,15.0,https://www.pap.fr/annonces/appartement-paris-12e-r416701511,ParisSud,45.33333333333334,PAP
9,820,2,31.0,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434401776,ParisSud,26.451612903225808,PAP
10,700,1,14.0,https://www.pap.fr/annonces/appartement-paris-12e-r427600763,ParisSud,50.0,PAP
11,1090,2,38.0,https://www.pap.fr/annonces/appartement-paris-12e-r434301420,ParisSud,28.684210526315788,PAP
12,1120,2,30.0,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434200477,ParisSud,37.333333333333336,PAP
13,1200,1,27.0,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434101891,ParisSud,44.444444444444436,PAP
14,1200,2,31.0,https://www.pap.fr/annonces/appartement-paris-12e-r428700851,ParisSud,38.70967741935485,PAP
15,1150,1,32.0,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434100852,ParisSud,35.9375,PAP
16,995,1,34.0,https://www.pap.fr/annonces/appartement-paris-12e-r434002432,ParisSud,29.264705882352942,PAP
17,920,1,20.0,https://www.pap.fr/annonces/appartement-paris-13e-r423501536,ParisSud,46.0,PAP
18,1080,1,32.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434500342,ParisSud,33.75,PAP
19,1100,1,33.0,https://www.pap.fr/annonces/appartement-paris-13e-r16600716,ParisSud,33.333333333333336,PAP
20,840,1,20.0,https://www.pap.fr/annonces/appartement-paris-13e-r418200935,ParisSud,42.0,PAP
21,640,1,15.0,https://www.pap.fr/annonces/appartement-paris-13e-r422800757,ParisSud,42.66666666666666,PAP
22,950,1,15.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r431800614,ParisSud,63.33333333333334,PAP
23,790,1,16.0,https://www.pap.fr/annonces/appartement-paris-13e-r193904150,ParisSud,49.375,PAP
24,1100,1,20.0,https://www.pap.fr/annonces/appartement-paris-13e-r432502810,ParisSud,55.0,PAP
25,670,1,14.0,https://www.pap.fr/annonces/appartement-paris-13e-r434002406,ParisSud,47.85714285714285,PAP
26,1100,1,32.0,https://www.pap.fr/annonces/appartement-paris-13e-r416601410,ParisSud,34.375,PAP
27,990,2,24.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434401971,ParisSud,41.25,PAP
28,800,1,18.0,https://www.pap.fr/annonces/appartement-paris-13e-r434200586,ParisSud,44.444444444444436,PAP
29,695,1,13.0,https://www.pap.fr/annonces/appartement-paris-13e-r425601700,ParisSud,53.46153846153846,PAP
30,850,1,16.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434402286,ParisSud,53.125,PAP
31,925,1,20.0,https://www.pap.fr/annonces/appartement-paris-13e-r434500171,ParisSud,46.25,PAP
32,880,2,24.0,https://www.pap.fr/annonces/appartement-paris-13e-r425400166,ParisSud,36.66666666666666,PAP
33,990,2,25.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434301931,ParisSud,39.6,PAP
34,830,1,23.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434402159,ParisSud,36.08695652173913,PAP
35,925,1,28.0,https://www.pap.fr/annonces/appartement-paris-13e-r434400219,ParisSud,33.035714285714285,PAP
36,900,2,30.0,https://www.pap.fr/annonces/appartement-paris-13e-r434400754,ParisSud,30.0,PAP
37,860,1,22.0,https://www.pap.fr/annonces/appartement-paris-13e-r434400485,ParisSud,39.09090909090909,PAP
38,950,1,31.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434400182,ParisSud,30.64516129032258,PAP
39,530,1,13.0,https://www.pap.fr/annonces/appartement-paris-13e-r421100548,ParisSud,40.769230769230774,PAP
40,880,1,18.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434300734,ParisSud,48.88888888888889,PAP
41,1050,1,32.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434300580,ParisSud,32.8125,PAP
42,690,1,12.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434201486,ParisSud,57.5,PAP
43,800,1,14.0,https://www.pap.fr/annonces/appartement-paris-13e-r409100622,ParisSud,57.14285714285714,PAP
44,970,1,33.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434100785,ParisSud,29.393939393939394,PAP
45,980,1,27.0,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434002334,ParisSud,36.2962962962963,PAP
46,1100,1,30.0,https://www.pap.fr/annonces/appartement-paris-14e-75014-r434300996,ParisSud,36.66666666666666,PAP
47,990,1,25.0,https://www.pap.fr/annonces/appartement-paris-14e-r195111977,ParisSud,39.6,PAP
48,600,1,10.0,https://www.pap.fr/annonces/appartement-paris-14e-r412700033,ParisSud,60.0,PAP
49,1100,1,43.0,https://www.pap.fr/annonces/appartement-paris-14e-75014-r434102227,ParisSud,25.58139534883721,PAP
50,1070,2,34.0,https://www.pap.fr/annonces/appartement-paris-14e-r434000902,ParisSud,31.470588235294123,PAP
51,1200,1,28.0,https://www.pap.fr/annonces/appartement-paris-14e-r408401470,ParisSud,42.857142857142854,PAP
52,1000,2,40.0,https://www.pap.fr/annonces/appartement-paris-14e-r434402192,ParisSud,25.0,PAP
53,925,1,29.0,https://www.pap.fr/annonces/appartement-paris-14e-75014-r434500191,ParisSud,31.896551724137932,PAP
54,800,1,20.0,https://www.pap.fr/annonces/appartement-paris-14e-75014-r434500192,ParisSud,40.0,PAP
55,650,1,13.0,https://www.pap.fr/annonces/appartement-paris-14e-r412100735,ParisSud,50.0,PAP
56,780,1,15.0,https://www.pap.fr/annonces/appartement-paris-14e-75014-r433801720,ParisSud,52.0,PAP
57,1053,1,25.0,https://www.pap.fr/annonces/appartement-paris-14e-r420000865,ParisSud,42.12,PAP
58,750,1,13.0,https://www.pap.fr/annonces/appartement-paris-14e-r430400437,ParisSud,57.69230769230769,PAP
59,1200,1,28.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434001036,ParisSud,42.857142857142854,PAP
60,900,1,25.0,https://www.pap.fr/annonces/appartement-paris-15e-r402700525,ParisSud,36.0,PAP
61,1200,1,34.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434301637,ParisSud,35.29411764705883,PAP
62,1200,1,26.0,https://www.pap.fr/annonces/appartement-paris-15e-r418101833,ParisSud,46.153846153846146,PAP
63,550,1,10.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434200113,ParisSud,55.0,PAP
64,1099,2,28.0,https://www.pap.fr/annonces/appartement-paris-15e-r193209291,ParisSud,39.25,PAP
65,770,1,18.0,https://www.pap.fr/annonces/appartement-paris-15e-r432400063,ParisSud,42.77777777777778,PAP
66,1200,1,25.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434100805,ParisSud,48.0,PAP
67,620,1,14.0,https://www.pap.fr/annonces/appartement-paris-15e-r406302403,ParisSud,44.28571428571429,PAP
68,840,1,16.0,https://www.pap.fr/annonces/appartement-paris-15e-r412500644,ParisSud,52.5,PAP
69,900,1,26.0,https://www.pap.fr/annonces/appartement-paris-15e-r432502706,ParisSud,34.615384615384606,PAP
70,900,2,27.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434402237,ParisSud,33.333333333333336,PAP
71,890,1,22.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434402283,ParisSud,40.45454545454545,PAP
72,980,1,22.0,https://www.pap.fr/annonces/appartement-paris-15e-r434500185,ParisSud,44.54545454545455,PAP
73,975,1,25.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434401862,ParisSud,39.0,PAP
74,930,1,20.0,https://www.pap.fr/annonces/appartement-paris-15e-r407702082,ParisSud,46.5,PAP
75,900,2,25.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434400907,ParisSud,36.0,PAP
76,980,1,28.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434401191,ParisSud,35.0,PAP
77,1085,1,29.0,https://www.pap.fr/annonces/appartement-paris-15e-r424600566,ParisSud,37.413793103448285,PAP
78,1080,1,30.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434400814,ParisSud,36.0,PAP
79,750,1,12.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434400863,ParisSud,62.5,PAP
80,700,1,13.0,https://www.pap.fr/annonces/appartement-paris-15e-r413102132,ParisSud,53.846153846153854,PAP
81,1075,1,27.0,https://www.pap.fr/annonces/appartement-paris-15e-r418300500,ParisSud,39.814814814814824,PAP
82,980,1,25.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434301712,ParisSud,39.2,PAP
83,600,1,9.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434301957,ParisSud,66.66666666666667,PAP
84,950,1,24.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434302119,ParisSud,39.583333333333336,PAP
85,950,2,24.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434302123,ParisSud,39.583333333333336,PAP
86,650,1,9.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434301651,ParisSud,72.22222222222223,PAP
87,855,1,16.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434300298,ParisSud,53.4375,PAP
88,1085,1,30.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434200888,ParisSud,36.16666666666666,PAP
89,685,1,12.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r433001091,ParisSud,57.08333333333334,PAP
90,1150,1,36.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434300096,ParisSud,31.944444444444446,PAP
91,550,1,10.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r431001836,ParisSud,55.0,PAP
92,940,1,28.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434201508,ParisSud,33.57142857142857,PAP
93,1170,1,33.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434201379,ParisSud,35.45454545454545,PAP
94,1170,2,32.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434200536,ParisSud,36.5625,PAP
95,980,1,28.0,https://www.pap.fr/annonces/appartement-paris-15e-r424500578,ParisSud,35.0,PAP
96,1180,1,27.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434101900,ParisSud,43.7037037037037,PAP
97,545,1,12.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434101928,ParisSud,45.41666666666666,PAP
98,975,1,23.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r178910192,ParisSud,42.39130434782609,PAP
99,1115,1,33.0,https://www.pap.fr/annonces/appartement-paris-15e-r433800590,ParisSud,33.78787878787879,PAP
100,950,1,25.0,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434000887,ParisSud,38.0,PAP
101,750,3,39.0,https://www.pap.fr/annonces/appartement-paris-7e-r196509548,ParisOuest,19.23076923076923,PAP
