,index,Price,N_rooms,Surface_m2,Link,District,Zone,Price_per_m2
0,0,1250,1,29,https://www.pap.fr/annonces/appartement-paris-12e-r420101075,12,ParisSud,43.10344827586207
1,1,950,1,30,https://www.pap.fr/annonces/appartement-paris-12e-r415501735,12,ParisSud,31.666666666666668
2,2,1015,2,35,https://www.pap.fr/annonces/appartement-paris-12e-75012-r433701933,12,ParisSud,29.0
3,3,870,1,16,https://www.pap.fr/annonces/appartement-paris-12e-r421600789,12,ParisSud,54.375
4,4,950,1,23,https://www.pap.fr/annonces/appartement-paris-12e-r423301856,12,ParisSud,41.30434782608695
5,5,700,1,13,https://www.pap.fr/annonces/appartement-paris-12e-r426000198,12,ParisSud,53.84615384615385
6,6,980,1,31,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434500206,12,ParisSud,31.612903225806452
7,7,750,1,20,https://www.pap.fr/annonces/appartement-paris-12e-r401700318,12,ParisSud,37.5
8,8,680,1,15,https://www.pap.fr/annonces/appartement-paris-12e-r416701511,12,ParisSud,45.333333333333336
9,9,820,2,31,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434401776,12,ParisSud,26.451612903225808
10,10,700,1,14,https://www.pap.fr/annonces/appartement-paris-12e-r427600763,12,ParisSud,50.0
11,11,1090,2,38,https://www.pap.fr/annonces/appartement-paris-12e-r434301420,12,ParisSud,28.68421052631579
12,14,1120,2,30,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434200477,12,ParisSud,37.333333333333336
13,15,1200,1,27,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434101891,12,ParisSud,44.44444444444444
14,16,1200,2,31,https://www.pap.fr/annonces/appartement-paris-12e-r428700851,12,ParisSud,38.70967741935484
15,17,1150,1,32,https://www.pap.fr/annonces/appartement-paris-12e-75012-r434100852,12,ParisSud,35.9375
16,18,995,1,34,https://www.pap.fr/annonces/appartement-paris-12e-r434002432,12,ParisSud,29.264705882352942
17,19,920,1,20,https://www.pap.fr/annonces/appartement-paris-13e-r423501536,13,ParisSud,46.0
18,20,1080,1,32,https://www.pap.fr/annonces/appartement-paris-13e-75013-r434500342,13,ParisSud,33.75
19,21,1100,1,33,https://www.pap.fr/annonces/appartement-paris-13e-r16600716,13,ParisSud,33.333333333333336
20,22,840,1,20,https://www.pap.fr/annonces/appartement-paris-13e-r418200935,13,ParisSud,42.0
21,23,640,1,15,https://www.pap.fr/annonces/appartement-paris-13e-r422800757,13,ParisSud,42.666666666666664
22,24,950,1,15,https://www.pap.fr/annonces/appartement-paris-13e-75013-r431800614,13,ParisSud,63.333333333333336
23,27,790,1,16,https://www.pap.fr/annonces/appartement-paris-13e-r193904150,13,ParisSud,49.375
