,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
0,1100,1,31.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/bois-de-boulogne/160039637.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,35.483870967741936
1,990,1,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/164077423.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,55.0
2,1100,1,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/135499625.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,34.375
3,410,1,10.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/ecole-militaire/161192029.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,41.0
4,1180,2,40.69,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164194803.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,28.999754239370855
5,1068,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/triangle-d-or/163772499.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,38.142857142857146
6,895,1,35.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164493643.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,25.571428571428573
7,650,1,9.3,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/saint-philippe-du-roule/150570377.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,69.89247311827957
8,1200,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/hoche-friedland/162487523.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,40.0
9,1150,2,23.29,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/164033143.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,49.377415199656504
10,1090,1,35.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/bois-de-boulogne/163208299.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,31.142857142857142
11,1100,1,30.69,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/155581749.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,35.842293906810035
12,1200,1,29.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/saint-philippe-du-roule/160085365.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,41.37931034482759
13,1150,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/162306047.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,38.333333333333336
14,650,1,14.4,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/162551125.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,45.138888888888886
15,890,1,15.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/triangle-d-or/162723555.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,59.333333333333336
16,626,1,13.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/163520691.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,48.15384615384615
17,850,1,27.98,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/163538431.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,30.378842030021442
18,986,1,24.12,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/hoche-friedland/164050039.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,40.87893864013267
19,902,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/164050047.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.214285714285715
20,1020,2,33.33,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164188121.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,30.603060306030606
21,902,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/164277889.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.214285714285715
22,1105,1,29.37,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/160701331.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,37.6234252638747
23,800,1,12.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/163418375.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,66.66666666666667
