,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
0,995,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/olympiades-choisy/163791757.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,39.8
1,1090,2,34.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/violet-commerce/164119443.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,32.05882352941177
2,1011,1,26.6,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/vaugirard-parc-des-expositions/163752627.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.00751879699248
3,955,1,18.17,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/vallee-de-fecamp/158548743.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,52.55916345624656
4,1195,2,41.1,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/didot-porte-de-vanves/162568401.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,29.075425790754256
5,1200,1,28.37,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/emeriau-zola/163474535.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,42.298202326401125
6,1178,2,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/162890973.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,36.8125
7,800,1,17.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/164425089.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,47.05882352941177
8,1150,2,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/163500669.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,35.9375
9,1140,2,43.0,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/164270143.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,26.511627906976745
10,1050,1,27.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/163830457.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.888888888888886
11,829,1,22.87,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/164176739.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,36.24836029733275
12,835,1,23.0,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/163778313.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,36.30434782608695
13,1200,2,39.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/croulebarbe/162294719.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,30.76923076923077
14,1090,1,33.73,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/vaugirard-parc-des-expositions/162305015.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,32.31544619033502
15,923,1,26.67,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/raspail-montparnasse/163255875.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,34.608173978252715
16,1100,1,33.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/olympiades-choisy/164315515.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,33.333333333333336
17,1030,2,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/aligre-gare-de-lyon/164363179.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,57.22222222222222
18,1105,1,28.81,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/mouton-duvernet/164398869.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.3547379382159
19,1000,2,31.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/bievres-sud-tolbiac/163679285.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,32.25806451612903
20,1120,2,33.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/dunois-bibliotheque-jeanne-d-arc/164155563.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,33.93939393939394
21,990,2,25.7,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/saint-lambert/163213731.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.521400778210115
22,1150,1,27.2,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/dupleix-motte-picquet/162842161.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,42.279411764705884
23,1123,2,32.73,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/164077103.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,34.31102963641919
24,875,1,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/cambronne-garibaldi/164553183.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,43.75
25,1200,1,40.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/montsouris-dareau/164023375.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,30.0
26,1100,1,26.0,"https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/raspail-montparnasse/160555169.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,42.30769230769231
27,1000,1,26.0,"https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/olympiades-choisy/163791747.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,38.46153846153846
28,550,1,9.0,"https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/cambronne-garibaldi/164521221.htm?projects=1&types=2,1&natures=1&places=[{ci:750112}|{ci:750113}|{ci:750114}|{ci:750115}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisSud,61.111111111111114
